[Sun, 25 May 2014 18:40:19 GMT] [info] [<0.32.0>] Apache CouchDB has started on http://127.0.0.1:8080/
[Mon, 26 May 2014 01:10:54 GMT] [info] [<0.32.0>] Apache CouchDB has started on http://127.0.0.1:8080/
[Mon, 26 May 2014 01:10:57 GMT] [info] [<0.121.0>] 127.0.0.1 - - GET / 200
[Mon, 26 May 2014 01:10:57 GMT] [info] [<0.121.0>] 127.0.0.1 - - GET /favicon.ico 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.121.0>] 127.0.0.1 - - GET /_utils 301
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.121.0>] 127.0.0.1 - - GET /_utils/ 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.121.0>] 127.0.0.1 - - GET /_utils/style/layout.css?0.11.0 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.150.0>] 127.0.0.1 - - GET /_utils/script/json2.js 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.120.0>] 127.0.0.1 - - GET /_utils/script/sha1.js 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.106.0>] 127.0.0.1 - - GET /_utils/script/jquery.couch.js 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.107.0>] 127.0.0.1 - - GET /_utils/script/jquery.dialog.js 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.119.0>] 127.0.0.1 - - GET /_utils/script/jquery.js 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.121.0>] 127.0.0.1 - - GET /_utils/script/futon.js 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.107.0>] 127.0.0.1 - - GET /_utils/script/futon.browse.js 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.120.0>] 127.0.0.1 - - GET /_utils/script/futon.format.js 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.107.0>] 127.0.0.1 - - GET /_utils/image/bg.png 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.121.0>] 127.0.0.1 - - GET /_utils/image/thead.gif 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.120.0>] 127.0.0.1 - - GET /_utils/image/add.png 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.107.0>] 127.0.0.1 - - GET /_utils/_sidebar.html 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.120.0>] 127.0.0.1 - - GET /_all_dbs 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.120.0>] 127.0.0.1 - - GET /_utils/image/spinner_33.gif 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.119.0>] 127.0.0.1 - - GET /_utils/image/logo.png 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.119.0>] 127.0.0.1 - - GET /_utils/image/sidebar-toggle.png 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.107.0>] 127.0.0.1 - - GET /_replicator/ 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.121.0>] 127.0.0.1 - - GET /_users/ 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.120.0>] 127.0.0.1 - - GET /_session 200
[Mon, 26 May 2014 01:11:02 GMT] [info] [<0.106.0>] 127.0.0.1 - - GET / 200
[Mon, 26 May 2014 01:11:51 GMT] [info] [<0.120.0>] 127.0.0.1 - - GET /_utils/docs/ 200
[Mon, 26 May 2014 01:11:54 GMT] [info] [<0.120.0>] 127.0.0.1 - - GET /_session 200
[Mon, 26 May 2014 01:11:54 GMT] [info] [<0.107.0>] 127.0.0.1 - - GET / 200
[Mon, 26 May 2014 01:11:54 GMT] [info] [<0.107.0>] 127.0.0.1 - - GET /_replicator/ 200
[Mon, 26 May 2014 01:11:54 GMT] [info] [<0.120.0>] 127.0.0.1 - - GET /_users/ 200
